,srprec_orig,hh_med_inc_wgt
793,49122,54816.0
794,49125,102061.2
795,49126,98404.90000000001
796,49129,63802.66
797,49131,80228.78
798,49134,126058.0
799,49333,54816.0
800,49335,106928.99
801,49338,67551.03
802,49341,83575.0
803,49346,54816.0
804,49348,92992.0
805,49349,92992.0
806,49355,128068.0
807,49357,125959.23999999999
808,50070,208377.31
809,50076,210300.0
810,50077,194467.86
811,50085,109712.0
812,50086,109712.0
813,50090,200455.0
814,50091,116179.59
815,50092,194542.02000000002
816,50093,147699.0
817,50094,183816.0
818,50096,146005.0
819,50108,147699.0
820,50110,146005.0
821,51064,85273.0
822,51069,93321.0
823,52001,49906.41
824,52002,84385.55
825,52003,91023.0
826,52004,118072.04999999999
827,52009,112833.0
828,52010,72310.0
829,52011,105663.41
830,52016,54726.4
831,52022,86101.0
832,52024,86101.0
833,52025,72310.0
834,52026,72703.0
835,52027,92059.0
836,52029,49551.0
837,52031,93321.0
838,52032,60860.56
839,52033,72703.0
840,52034,111247.18
841,52035,118915.23999999999
842,52037,77463.0
843,52043,79423.0
844,52044,79423.0
845,52045,93569.47
846,52047,124618.0
847,52048,124618.0
848,52049,124618.0
849,52051,106000.0
850,52052,82099.62
851,52053,80551.26999999999
852,52057,61694.0
853,52059,64942.0
854,52131,100611.0
855,52167,97708.0
856,52180,88213.37
857,52184,112050.07
858,52186,93321.0
859,52194,64942.0
860,52197,59587.95
861,52200,104933.76
862,52202,64942.0
863,52210,57110.93
864,52211,61694.0
865,52212,49180.18
866,52213,73550.68000000001
867,52224,100611.0
868,52231,92059.0
869,52233,57420.0
870,52234,57420.0
871,52235,92059.0
872,52237,61694.0
873,52701,57420.0
874,52702,108804.08
875,52703,76042.9
876,53055,124618.0
877,53056,124618.0
878,53059,135115.75
879,53062,147014.75
880,53064,102532.06
881,53065,148000.0
882,53066,90786.0
883,53068,150972.0
884,53069,116375.14
885,53071,136397.0
886,53073,121055.28
887,53074,121163.42
888,53075,177067.0
889,53080,105804.08
890,53081,90786.0
891,53082,106143.0
892,53083,105576.0
893,53084,137580.53999999998
894,53085,133780.29
895,53090,105576.0
896,53091,167850.99
897,53097,112813.0
898,53098,112813.0
899,53100,122899.0
900,53142,227084.39
901,53143,250001.0
902,53145,209427.18
903,53146,250001.0
904,53148,153143.0
905,53153,136397.0
906,53154,113050.28
907,53155,148000.0
908,53158,153143.0
909,53159,250001.0
910,53160,250001.0
911,53162,136397.0
912,53164,118325.0
913,53170,148000.0
914,53305,118413.74
915,53308,123542.56
916,53346,85273.0
917,53347,124618.0
918,53348,135301.24
919,53349,148000.0
920,53350,152466.0
921,53353,148065.96000000002
922,53363,148000.0
923,53366,94483.0
924,53373,85273.0
925,53375,124618.0
926,53376,118325.0
927,53380,135742.28
928,53381,115639.0
929,53389,99897.52
930,53393,105606.81999999999
931,53404,146953.0
932,53701,136397.0
933,53702,92059.0
934,53703,98413.90000000001
935,53704,153043.96
936,53705,90786.0
937,54101,66178.0
938,54102,116587.0
939,54107,81170.27
940,54108,66178.0
941,54111,128301.25
942,54112,126944.57
943,54114,147699.0
944,54120,147699.0
945,54121,120000.0
946,54122,135248.3
